   1     1     2    13    12     1     1
   2     2     3     4    13     1     1
   3     4     5    14    13     1     1
   4     5     6    15    14     1     1
   5    15     6     7     8     1     1
   6    16    15     8     9     1     1
   7    11    16     9    10     1     1
   8    12    13    14    11     1     1
   9    11    14    15    16     1     1
           1   19.80000       3.730000       6.600000    
           2   19.80000       4.845000       6.600000    
           3   19.80000       5.960000       6.600000    
           4   19.80000       5.960000       7.500000    
           5   19.80000       5.960000       8.250000    
           6   19.80000       5.960000       9.000000    
           7   19.80000       5.960000       9.900000    
           8   19.80000       4.845000       9.900000    
           9   19.80000       4.287500       9.900000    
          10   19.80000       3.730000       9.900000    
          11   19.80000       3.730000       8.799999    
          12   19.80000       3.730000       7.700000    
          13   19.80004       4.843930       7.505581    
          14   19.80004       4.817135       8.416535    
          15   19.80004       5.035605       9.139777    
          16   19.80004       4.329636       9.267519    
